num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
67814,1.3045570535685267,0.0030304959754043903,0.7891751337838002,108886.13358814975,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
71683,1.3040197047335493,0.0024931471404270322,0.6675072648972238,160880.78590983388,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
75773,1.3039612271727439,0.0024346695796215734,0.6701889616247624,168701.88730540065,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
80096,1.3068730313386303,0.005346473745508007,1.5131181910008247,34983.65028961169,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
84666,1.3019992390304724,0.0004726814373501309,0.13753811521808,4475719.955634309,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
89496,1.3020490101701232,0.0005224525770008981,0.15629629680498142,3663584.801291543,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
94602,1.300178222568284,0.0013483350248382209,0.4147133109794251,550052.7849557663,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
100000,1.3010874232058134,0.00043913438730891485,0.13886648627987103,5185672.750510197,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
105705,1.2981285760836507,0.0033979815094715704,1.1047621245288117,86607.99355991138,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
111735,1.298067607658916,0.003458949934206368,1.1562157808217426,83581.7477089548,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
118110,1.3019745557749736,0.0004479981818512613,0.15396414203301964,4982502.176263811,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
124849,1.3011850180007036,0.0003415395924186715,0.1206795243834571,8572705.180265151,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
131972,1.2979331213778191,0.0035934362153031696,1.3054217357116342,77442.63459358473,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
139501,1.3005829072014563,0.0009436503916659955,0.3524518422167916,1122994.8148191446,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
147460,1.2999057952329778,0.0016207623601445231,0.622381187708876,380681.0999055737,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
155873,1.3000401374315307,0.0014864201615916173,0.5868498993752422,452602.37150726933,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
164765,1.3000063151534114,0.0015202424397109393,0.617085488603056,432687.44662598835,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
174166,1.3025220316501496,0.000995474057027268,0.4154431812854758,1009113.7113748565,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
