method,dist,queries,epsilon,p_hat,true_p,error
classical,lognormal,1000000,,0.045939,0.0460475731244029,0.0001085731244028984
classical,mixture,10,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,11,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,12,,0.08333333333333333,0.042270765684061296,0.04106256764927203
classical,mixture,14,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,15,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,17,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,20,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,22,,0.045454545454545456,0.042270765684061296,0.0031837797704841603
classical,mixture,25,,0.04,0.042270765684061296,0.0022707656840612947
classical,mixture,28,,0.10714285714285714,0.042270765684061296,0.06487209145879584
classical,mixture,31,,0.06451612903225806,0.042270765684061296,0.022245363348196767
classical,mixture,35,,0.02857142857142857,0.042270765684061296,0.013699337112632725
classical,mixture,40,,0.025,0.042270765684061296,0.017270765684061294
classical,mixture,45,,0.044444444444444446,0.042270765684061296,0.0021736787603831506
classical,mixture,50,,0.1,0.042270765684061296,0.05772923431593871
classical,mixture,57,,0.017543859649122806,0.042270765684061296,0.02472690603493849
classical,mixture,64,,0.0,0.042270765684061296,0.042270765684061296
classical,mixture,72,,0.027777777777777776,0.042270765684061296,0.01449298790628352
classical,mixture,81,,0.012345679012345678,0.042270765684061296,0.029925086671715617
classical,mixture,91,,0.02197802197802198,0.042270765684061296,0.020292743706039316
classical,mixture,102,,0.0196078431372549,0.042270765684061296,0.022662922546806394
classical,mixture,114,,0.03508771929824561,0.042270765684061296,0.0071830463858156834
classical,mixture,129,,0.05426356589147287,0.042270765684061296,0.011992800207411572
classical,mixture,145,,0.041379310344827586,0.042270765684061296,0.0008914553392337099
classical,mixture,162,,0.030864197530864196,0.042270765684061296,0.0114065681531971
classical,mixture,183,,0.0273224043715847,0.042270765684061296,0.014948361312476597
classical,mixture,205,,0.03902439024390244,0.042270765684061296,0.0032463754401588565
